Title,Description,Values
rusya ssk primleri farkı,merkez ücret giderli a lı kod arasında ssk primlerinde fark bulunmaktadır farkın tespiti ilgili yardımlarınızı rica ederiz,0
ik modülü mağaza yemek gideri,mağaza bazlı girmemiz gereken personel yemek giderleri mevcut giderleri ik modülünden ek diğer giderler dağıtımlı ekranından girişlerini yaptık ekran görüntüsü ektedir i̇lgili giderin önce karşılaştırma ekranına geliyordu şimdi gelmemeye başladı konu hakkında yardımlarınızı rica ediyoruz,0
kullanıcı yetki devri,kurumsal i̇letişim müdürlüğü mahmut esad doğanlı kullanıcısına ilişkin cognos yetkisinin hilal kutay a devredilmesi talep edilmektedir,2
erbil şube rakamlarının görünmemesi,cognos mizan güncelleme sırasında erbil şube rakamlarının görünmemesi sebebiyle mali tablolarda uyumsuzluk oluşmaktadır yardımlarınızı talep eder,0
toplam giderler kırılımında düzeltme,pelin gider kalemleri rakamı toplamının toplam giderler rakamına gidiyor olması gerekiyor aynı zamanda birden fazla akan rakamlar mevcut rica etsem yardımcı olabilir misin,0
eticaret satış bütçesi sonuç ekranları,eticaret departmanı satış bütçesi modülünde ilgili alanlara giriş yaptı ancak aylık satış raporu sayfasına sonuçlar akmamaktadır kontrolünüzü rica ederiz,0
hazine kar payı gideri toplayıcı hesabı,ekteki kalemlerin cognos ta hazine kâr payı giderleri olarak tek bir ana kalemin altında toplulaştırılmasını talep eder,1
mağaza merkez gider ekranları,mağaza merkez gider ekranları default ekran ayarlanması,2
ticari stok açılış girişi,pelin ekteki dosyanın cognos a girişi rica etsem yardımcı olabilir misin,2
yatırım modolü,yatırım modülündeki amortisman giderleri sayfasını seçerken ekteki hatayı almaktayım konu hakkında yardımlarınız rica ediyorum,0
bütçe aktarım küpünde gerçekleşen bilgisi gelmiyor,bütçe aktarım küpünde gerçekleşen bilgisi gelmiyor,0
ücret giderleri,ali bey i̇pek hanım ücretleri girerken tarih kısmında yapıştırma yaparken hata almaktadır sizin yönlendirmenize göre bir yöntem denedik ancak olmadı yardımcı olabilir misiniz,0
mali tablo şube hiyerarşik düzenlemesi,toplam şube olan element içerisine şubeler genel müdürlük birimleri şubeler içerisinde şubeler bölgeler şubeler detayına yurtiçi şubeler yurtdışı şubeler olarak ayrılmasını talep ederiz,2
genel müdürlük personel raporu,i̇k departmanı kullanıcısı i̇pek özkan persenol giderleri ücret türü modülünde genel müdürlük personel raporu sayfasında yıl_ay seçiminde yılını görüntüleyebilirken grup_yılı nda yılını görüntüleyememektedir i̇vedi yardımlarınızı rica ederiz i̇lgili ekran görüntüsü ektedir,0
amortisman giderleri,belarus romanya gürcistan fas ükelerinde mart aralık aylarına amortisman gideri getirmiyor kontrol edebilir misiniz bunun dışında mağazacılık giderleri tarafında toplam giderlere giremiyorum,0
cmzn_konsolide mizan kümülatif veri farklılıkları,ekte görüleceği şekilde cognos a çıkılan cmzn verileri kümülatif mizan verileri arasında bulunan farklılıklar kontrol edilmiş olup hatanın özel formüllerin uygulanmamasından kaynaklandığı tespit edilmiştir kapsamda kümülatif mizan verisi geçerli olan istisnai formüllerin cmzn verilerine kopyalanması gerekmektedir vii b ertelenmiş vergi alacağı net ertelenmiş vergi borcu net alanları parametreler kısmında bulunan brüt vergi durumuna göre değerlendirilmekte ona göre yukarı kısımlara taşınmaktadır ayrıca yükümlülükler özkaynak altında bulunan vi dönem karı alanı,0
yeni eklenecek elementler,bütçe çalışmalarında yapılacak güncellemeler yeni element eklemeleri düzenlemeleri yapılması gerekmektedir kapsamda ekte detayları verilen işlemlerin yerine getirilebilmesi yardımlarınızı talep ederiz dosya yükleme sorunu olduğu görseli gönderemiyorum mail üzerinden ilettiğim dosyayı kullanabilirsiniz,2
ukrayna yeni boyut tanımlası,ukrayna lebutik int ua boyutunun e bayi olarak tanımlanmasına rağmen satış bütçesi giriş ekranına gelmediğini görüyoruz nedenle bütçe girişi yapılamıyor tanımlamalar ekranı ektedir boyut tanımlaması yapıldıktan sonra boyut hiyerarşisi güncellenip mizanı aktar işlemleri yapılmıştır i̇lgili boyutun satış bütçesi giriş ekranına gelmesi yardımlarınızı rica ediyoruz rusya yeni mağazalar boyut tanımlaması yapıldığında herhangi bir sorunla karşılaşmadık bütçe girişlerini yapabilmiştik sorunun ukrayna özelinde gerçekleşmesinin bir nedeni v,0
bütçe versiyon aktarımları,aşağıdaki ülkelerde onaylı bütçe tm kontrollerini tamamladık nedenle versiyon aktarımları yardımlarınızı rica ediyoruz rusya ukrayna belarus romanya gürcistan fas irak,2
yurtiçi yurtdışı ayrımı,budget küpünün bağımsız denetim raporu küpünde olduğu yurtiçi yurtdışı olarak ayrıştırılmasını talep ederiz kümülatif try kümülatif yp usd elementleri ayrım yapılması yeterlidir,2
cgns_kredi_hesaplari tablosu,kredi hesap bakiyeleri talebimiz sonucu cgns_kredi_hesaplari tablo isminde hazırlanan kredi verisinin tablo olarak cognos a aktarılmasını talep etmekteyiz prod izlendikten sonra test doğrulandığı takdirde bt talebimiz kapatılacaktır,2
kullanici giriş hatası murat arslan,murat arslan ik modülüne girememektedir,0
personel giderleri yeni kırılımları eklenmesi,cognos tm gider yatırım bütçesi içerisinde personel giderleri maaş ücretler içerisinde yer alan alt kalemlere karz i hasen katkı payı kurum sğlk hayat sig mlyt farkı kıdem ödülleri kıdem ödülleri ayrılan kıdem ödülleri çalışan kampanya ödülleri bebek sepeti evlenene altın al kırılımlarının eklenmesini talep eder,1
yetki devri,stratejik planlama müdürlüğü altında faaliyet gösteren bütçe yönetim servisi nin finansal raporlama müdürlüğü bünyesine taşınmasıyla spm ye ait yetkiler kaldırılmıştır buna benzer bir durumun bir yaşanmaması bütçe yönetim servisi adında yeni bir alanın oluşuturularak alana bütçe çalışanlarının kaydı yapılmıştır alan sayesinde bütçe yönetim servisinin ileride yaşanabilecek olası birim değişikliklerinden etkilenmesinin önüne geçilmiştir,2
giderler performans tablosu versiyonlar,yönetim raporlarındaki giderler performans tablosunda versiyonların aktif hale gelmesi yardımlarınızı rica ediyoruz,2
ücret girişi ekranı,ali bey i̇pek özkan adlı kullanıcı i̇nsan kaynakları müdürü departmanların maaşlarını sisteme girebilmeleri adına yetki vermek istemektedir ancak yetki ekranında bir değişiklik yapamadığını söyledi kontrol edebilir misiniz i̇lgili ekran görüntüsü ektedir,0
budget küpünde aylik kümülati̇f bakiye alanının eklenmesi,önce mizan mizan ürün küplerinde yapılmış olan aylik kümülati̇f görüntüleme seçeneğinin budget küpü eklenebilmesi yardımlarınızı talep ederiz,2
loft ekim fiili verilerinin tutmaması,loft ekim fiili verilerinin tutmaması,0
sosyal yardımların toplam giderlere gelmemesi,i̇k modülündeki bulunan sosyal yardım giderleri toplam merkez giderler kısmına gelmemektedir konu hakkında yardımlarınızı rica ediyoruz,0
reklam i̇lan giderleri alt kırılım düzenlemesi,cognos tm bütçe modülü içerisinde yer alan gider bütçesi kalemlerinden reklam i̇lan giderleri alt kırılımlarının reklam i̇lan giderleri tv reklamı dijital reklam basın reklamı radyo reklamı prodüksiyon promosyon sponsorluk ajans servis ücretleri etkinlik organizasyon diğer reklam giderleri olacak şekilde düzenlenmesini talep eder,1
mali tablo şube hiyerarşik düzenlemesi,toplam şube olan element içerisine şubeler genel müdürlük birimleri şubeler içerisinde şubeler bölgeler şubeler detayına yurtiçi şubeler yurtdışı şubeler olarak ayrılmasını talep ederiz,2
parametreler yeni kalem ekleme,ibm cognos tm içerisine parametreler alanına terkin edilmiş alacaklar katılım havuzlarından alacaklar kalemlerinin eklenmesi gerekmektedir,2
yurt dışı şube mali tablo hatası,yurt dışı şube verileri kontrol esnasında dwh tarafından alınan veriler sistem kontrol edilmiş olup uyumlu görünmektedir cognos mali tablo verisinin geldiği alanlarda farklar görünmektedir tabloya gelen verilerde örneklem alınarak kontrol edilmesi talep edilmektedir bilgilerinize sunarım,0
mali i̇dari i̇şler kullanıcısı,mali i̇dari i̇şler kullanıcısı neriman kasap şuanda bir gider kalemini açılış ekranında görememektedir konu ilgili ekran görüntüsü ektedir yardımınızı rica ederiz,0
torium mağazası hatası önemli̇,torium mağazasının kapanış tarihini mağaza açık kapalı güncellemesini yapmamıza rağmen sonuç sayfasına rakamlar akmamaktadır i̇vedi kontrollerinizi rica ederim,0
yeni müdürlük eklenmesi,finansal kurumlar yatırımcı i̇lişkileri müdürlüğü finansal kurumlar müdürlüğü murat cankay yatırımcı i̇lişkileri müdürlüğü cihat keskin olarak ayrılmıştır mevcut müdürlüğün cognos sisteminde iki ayrı müdürlük olarak ayrılmasını talep eder,1
mali tablo görünümleri,kullanıcılar cognos tm mali tablolar küpü içerisindeki sekmeleri görememektedir gereği yardımlarınızı talep ederiz,0
kümülati̇f_try alanı hatası,ekte görülebileceği şekilde yurtiçi_try yurtdışı_try alanının toplamını getirmesi gereken kümülatif_try alanı hatalı veri getirmektedir alanın düzeltilebilmesi yardımlarınızı talep ederiz,2
kur bilgisi görünmemesi,eylül dönemine ilişkin kur bilgisi görünmemektedir bilgilerinize sunarım,0
ciro dağılımı sayfasındaki hata smm kitapçığı,smm kitağçığında bulunan ciro dağılımı sayfasında bütçelenen alanına veriler akmıyor uygulama yönetimininde süreçleri güncelledik ekran görüntüsü ektedir konu hakkında yardımlarınızı rica ediyoruz,0
celal karayaka kullanıcısı dk eşleme hatası,celal karayaka kullanıcısı dk eşledikten sonra bağımsız denetim formatında dk eşleme bilgilerini görememektedir başka bir kullanıcı dk eşlemeye girip sahiplik alıp kesinleştirdikten sonra rakamları görebilmektedir bilgilerinize sunar,0
bütçe aktarım taleplerinin i̇zlenebilmesi,cognos içerisinde bütçe aktarımları kapsamında yapılan kalem bazlı ilave tenzil kayıtlarını görmemize olanak sağlayan gider bütçesi kalemleri seçilmek suretiyle tarih tutar açıklamalı olarak giriş yapabileceğimiz ekran eklenmesini talep etmekteyiz cognos ta kayıtların aktarım öncesi sonrası bütçe raporunu alacak şekilde tasarlanmasını istediğimiz ekran çalışması yardımlarınızı talep eder,2
erişim yetkisi,kurumumuzdan ayrılmış olan muammer özçelik in cognos yetkilerinin üzerime aktarılmasını talep ederim,2
cgns_kredi_hesaplari tablosu,kredi hesap bakiyeleri talebimiz sonucu cgns_kredi_hesaplari tablo isminde hazırlanan kredi verisinin tablo olarak cognos a aktarılmasını talep etmekteyiz prod izlendikten sonra test doğrulandığı takdirde bt talebimiz kapatılacaktır,2
muhammet kılıç kullanıcı sorunu,pazarlama müdürlüğü budget yetkileri olmasına rağmen muhammet kılıç kullanıcısı budget küpü içerisindeki bütçe kalemlerini göremediğini iletmişlerdir konu ilgili acil yardımlarınızı talep ederiz,0
ets eksikler,nakliye giderleri manuel giriş enerji giderleri manuel giriş ekranlarında ets yer almamaktadır yardımınızı rica ederiz,0
araç giderleri,mm ine tanımlanan araç kiralama gideri sonuç ekranına yansımamış görüyoruz kontrolünüzü rica ederiz,0
kıyafet birim fiyatı girişi,personel giderleri ücret dışı modülünde genel müdürlük kıyafet masraf giriş ekranında rakam yazacağımız satırlar bulunmamaktadır yardımınızı rica ederim,0
loft i̇ k modülü,loft i k modülü çalışması,2
perspectıve kurulumu,bütçe departmanındaki arkadaşlara perspectıve kurulumunun yapılmasını rica ediyoruz,3
karne parametrelerini kuraldan veri girişine çevirme sorunu,v backstage iki apg nin kaynak target kaynak actual parametreleri kural olarak tanımlandıktan sonra ihtiyaç duyulduğunda kaynak target parametresi veri girişine çevrilememiştir sorun durum genel midir yoksa iki apg ye özgü müdür örnek apg ler toplam teminat mektubu riski toplam risk katılım fonları haricindeki fon kaynaklarının maliyeti,0
loft i̇ k modülü,loft i k modülü çalışması,2
kur bilgisi görünmemesi,eylül dönemine ilişkin kur bilgisi görünmemektedir bilgilerinize sunarım,0
i̇ş mükemmeliği i̇novasyon müdürlüğü bütçe temsilcisi güncellemeleri,i̇ş mükemmeliği i̇novasyon müdürlüğü nde kübra odabaş taşli kullanıcısının yetkilerinin kaldırılarak yerine muhammet oğul mustafa yilmaz kullanıcılarının yetkilendirilmesi gerekmektedir,2
yeni element eklenmesi,ibm cognos tm uygulamasında bütçe planlama budget küpü içerisine son tahminler isminde bir element eklenmesini talep ederiz std element içerisine bütçelenen gerçekleşen seçeneklerinin altına eklenmesi uygundur,1
mali tablo şb uygulaması yurt dışı şubeler veri hatası,mali tablo şb uygulamasında aynı parametre girdilerin kullanıldığı farklı küpte tutarsızlıklar mevcuttur segment şube mali tablo küpünde yurt dışı şubelere ait dataları görüntüleyebilmekteyken segment sube mizan küpünde yurtdışı şubelere ait dataları görüntüleyememekteyiz ekte iki ekran görüntüsü iletilmektedir,0
yeni açılan mağaza isimleri,yeni açılan mağaza isimleri bütçeye göre farklılık göstermektedir bütçesini yaparken mağazaların isimlerini reeldeki getirmek yapmamız gerekmektedir bizi yönlendirmenizi rica edebilir miyiz,2
kullanıcı yetki devri,pazarlama müdürlüğü kullanıcılarından i̇lker çin ın kullanıcı yetkilerinin kaan çelikok a devredilmesini talep etmekteyiz,2
görünmeyen bütçe kalemi,ibm cognos tm bütçe planlama mali tablolar küplerinde ilgili sayfalarda budget segment şube mali tablo xiii vergi karşılığı ana kalemi görünmemektedir gereği bilgilerinize sunarım,0
yılının eklenmesi,yakında bütçe çalışmalarına başlayacağız nedenle tm üzerindeki alanlara web insight yılının eklenmesi yardımlarınızı rica ediyoruz,2
ana kalem i̇ptali,cognos bütçe planlama budget sekmesi gelir tablosu içerisinde yer alan katilim fonlari kar payi gi̇derleri̇ kaleminin alt kırılımları azaltıldığından toplayıcı hesaba gerek kalmamaktadır gereği bilgilerinize sunar,2
uzun vadeli finansal borçlar,bilançoya uzun vadeli finansal borçlar hesbaını tanımlayabilir misiniz kısa vadeli yükümlülüklerden hemen sonra gelebilir teşkekürler,2
romanya personel bilgileri sayfası güvenlik ayarları,romanya personel bilgileri sayfasında türkiye ye ait personel bilgileri gelmektedir güvenlik ayarlarının kontrolünü rica ederiz,0
erbil verilerinin görünmemesi,mizan güncelleme esnasında görünmeyen erbil verilerinin sisteme getirilmesini talep etmekteyiz gereği bilgilerinize sunarım,0
tedarik zinciri kullanıcısı,tedarik zinciri direktörlüğü kullanıcısı furkan nebioğlu önce ücretleri giremediğini söyledi ekranlarını kontrol ettiğimizde merkez ücreti giriş ekranı sayfası tamamen kapalıdır i̇vedilikle sayfanın açılmasını rica ederiz alınan hataya ait ekran görüntüsü ektedir,0
kullanıcı yetki devri,adk md kullanıcı yetkilerinin filiz yamaç a tanımlanması gerekmektedir,2
yılı tanımlamalar,yılı performans tabloları eşleştirmeleri dağıtım kanallarının yılına kopyalanması,2
hazine md cognos giriş hatası,hazine md yetkilisi gider yatırım küpünü görememektedir bilgilerinize sunarız,0
araç tanımlaması,araç giderlerinde atanur boduroğlu hakan başer masraf merkezli iki araç tanımladık ancak araç kiralama sayfasına akmamaktadır kontrol etmenizi rica ederim,0
veri girişi kümüle try,veri girişi kümüle orj verileri kümüle try olarak alınmak istendiğinde rakamlar sıfırlanmaktadır bilgilerinize sunarım,0
budget kümülatif yp usd yanlış veri getirmesi,ekte görülebileceği budget küpü nde kümülatif yp usd boyutundan gelen veriler tarihine kadar doğru gelmekteyken tarihinden itibaren yanlış gelmektedir tarihinden itibaren yp usd değerleri negatif olarak yansımıştır bilginize sunar gereğinin yapılmasını rica ederiz,0
bağımsız denetim raporu gayri̇maddi̇ haklar amorti̇smani,vi maddi̇ olmayan duran varliklar net diğer kaleminde yer alan gayri̇maddi̇ haklar amorti̇smani hesabının eksi olarak ayarlanmasını talep ederiz saygılarımızla,2
i̇nsan kıymetleri müdürlüğü yetki devri,i̇nsan kıymetleri müdürlüğü yetki değişiklikleri olmuştur kapsamda i̇smail küpeli̇ yetkileri kaldırılırken hacı murat aktaş cem yilmaz kullanıcılarına yunus emre batmaci nın yetkilerinin tanımlanması gerekmektir,2
mağaza isimlerinin revizesi,ali bey silivri mağazasının adını i̇stanbul lens avm i̇stanbul lens avm nin adını silivri olarak değiştirdik sistemde güncellenme olmamış kontrol edebilir misiniz,0
kullanıcı yetki devri,kurumsal satış müdürlüğü burak dağyar kullanıcısına ilişkin cognos yetkisinin emre özkaya devredilmesi talep edilmektedir,2
kredi i̇stihbarat md veri kesinleştirm problemi,kullanıcı ekranında kesinleşmiş veriler siyah olmasına rağmen konsolide veri girişleri izlenirken mavi olarak görünmektedir yorum alanına mavi olan alan eklenecektir,0
kullanıcı hatası,yönetim kurulu raportörlüğü md saida gözütok kullanıcısı bütçe planla budget sekmesinde gerçekleşmeleri görememektedir yardımlarınızı talep eder,0
bağımsız denetim kalem taşıma,bağımsız denetim sekmesinde ekteki kalemlerin yerlerinin değiştirilmesi gerekmektedir,2
mizan yurtdışı try hatalı,mizanda yurtdışı şubelerden gelen verilerde orj try karşılığı eşit görünüyor orj bakiye doğru ancak tl karşılığı hatalı gelmiş örnek dk i̇ş zekası tl karşılığı bilgisini doğru gönderdiğini teyit etti ancak cognos mizan ürüne doğru yansıdığı halde mizana doğru yansımıyor,0
segment şube bazlı verilerde yaşanan hataların giderilmesi,segment şube bazlı veri kontrollerinde yaşanan hataların giderilmesi verilerin kontrol edilmesi gerekmektedir,0
kullanıcı yetki devri,i̇ç kontrol başkanlığı cognos kullanıcı yetkilerinin fatih süleyman türk ten alınarak fatih dulay a verilmesi talep edilmektedir,2
cognos uygulamasında başlık i̇simleri değiştirilmesi,cognosta std_butce_hesap_plani caption boyutundaki yurtdışı bankalar varliklar bankalar yurtdişi bankalar yurtdışı bankalar ch yükümlülükler parasal kaynaklar toplanan fonlar cari̇ hesaplar yurtdişi bankalar ch elementlerinin yurtdışı şubeler yurtdışı şubeler ch şeklinde değiştirilmesi konusunda desteklerinizi rica ederiz,2
ik modülü zam dönemi,tarihli mail ik modülü zam dönemi,2
kullanıcı yetki devri,teftiş kurulu başkanlığı cognos yetkilerinin oğuzhan kasap a devredilmesi istenmektedir bilgilerinize sunarım,2
irak merkez ücretleri,irak merkez bir personel tanımlandı bilgilerini eksiksiz girildi merkez ücret gi̇ri̇şleri̇ sayfasında kişinin ocak ücretine giriş yapılamıyor den giriş yapılmıyor yetki vs bir sorun var çözümü konusunda desteğinizi rica ederim,2
bütçe aktarım küpü veri hataları,bütçe aktarım küpünde bütçe verileri hatalı gelmektedir bir kısmında bütçe verileri hatalı gelmekteyken bir kısmında gelmemektedir,0
veri güncelleme problemi,ibm cognos tm uygulama yönetiminden mizan güncelleme işlemi sırasında bütçe planlama küpü budget sekmesi sahipliği alınmadan mizan güncelleme işlemi yapıldığında veriler bozulmaktadır sorunun çözümü uygulama yönetiminde sahiplik alındığında diğer küplerde otomatik olarak sahiplik alınmalı güncelleme işlemi şekilde tamamlanmalıdır bilgilerinize sunarız,0
veri değerlerinin yapıştırılması,veri girişi yapmak istediğim ekrana kopyalamış olduğum değerleri yapıştırma yapamıyorum konuyla ilgili yardımlarınızı rica ederim,0
kalem eklenmesi,kambiyo karları altına tier i kambiyo karları kalemi eklenmesi gerekmektedir,2
yetki tanımalaması,yetki tanımlaması modülünde amortisman bütçeleme yetkilendirmesi sayfasına sivas primemall mağazasında yozgat mağazasına kadar masraf merkezlerini eklemenizi rica ederiz,2
fon komisyonları,raporlarda fon komisyonları hesabını incelediğimizde belli aylarda ekte belirtmiş olduğum farklar yer almaktadır bütçe sürecimiz başlamadan kontrolünüzü rica ederiz,0
amortisman giderleri giriş ekranı,amortisman giderleri modülünde yeni yatırımlar giriş sayfasına veri girişi yaptığımızda ekran bizi bekletmektedir kontrolünüzü rica ederiz,0
kur farkları artış azalış bütçe hesaplamaları,kur farkları ana para artış azalış cognos üzerindeki bütçe giriş verilerinde ekteki revize yapılmasını talep ederiz,2
donuk alacaklar tahakkuk reeskont kaleminin taşınması,kodlu donuk alacaklar tahakkuk reeskontu tp yp toplam kalemlerinin kodlu donuk alacaklar kur farkları tp yp toplam kaleminin altına donuk alacaklar tahakkuk reeskontu tp yp toplam olarak taşınması gerekmektedir kodlu kalemin adı iv b b donuk alacaklar tahakkuk reeskont kur farkı tp yp toplam olarak güncellenmelidir,2
birim yetkililerinin bütçe gerçekleşme durumunu görüntüleyebilmesi,ekteki dosyada birimlerimizin tarihi itibariyle bütçe gerçekleşme durumu mevcuttur ekli çıktıyı cognos dashboard olarak ilgili birimin bütçe sorumlularına gösterebilmek yardımlarınızı rica ederiz saygılarımla,2
başlayan mağazaların isimlerinin düzeltilmesi,sistemde başlayan mağazaların isimlerini geçmiş yılların bütçelerini bozmadan düzeltmek istiyoruz bütçe döneminde mağazaların isimleri eski kaldığı problem olabiliyor önceden böyle bir talebimiz oldu ancak değiştirilemeyeceğine dair geri dönüş olmuştu konuda sizin fikrinizi almak istiyoruz,1
kullanıcı devri,hazine müdürlüğü çalışanlarından şuayb üstüncan ın cognos giriş diğer kullanıcı yetkilerinin yine aynı müdürlük çalışanı reha çetindağ a devredilmesini talep eder,2
ömer kara kullanıcı hatası,tahsilat md kullanıcısı ömer kara gider yatırım bütçesine giriş yapmak istediğinde görünüm bozulmuş kullanıcı yetkileri kaybolmuş uyarısı alıp sayfa kapanmaktadır gereği yardımlarınızı talep ederiz,0
müdürlük i̇simlerinin değiştirilmesi,kurumsal i̇letişim müdürlüğü nün i̇letişim marka yönetimi müdürlüğü süreç yönetimi organizasyon müdürlüğü nün i̇ş mükemmelliği i̇novasyon müdürlüğü alternatif dağıtım kanalları müdürlüğü nün dijital kanallar ödeme sistemleri geliştirme müdürlüğü olarak değiştirilmesi gerekmektedir,2
ibm cognos planning analytics sunucu kurulumu upgrade hkç,cognos upgrade süreçleri efor takibi sağlanabilmesi adına açılmıştır,3
günlük sistem kontrolleri,ticket cognos sisteminin standart kontrolleri yapılan çalışmaların günlük eforlarının kayıt altında tutulabilmesi adına açılmıştır,2
mali tablolar segment verileri,cognos mali tablolar segment verileri cognos budget verileri karşılaştırıldığında farklar olduğu tespit edilmiştir ekte bulunan farkların giderilmesi segment dışı budget konsolide toplam segmentler toplamı olarak revize edilmelidir bilgilerinize sunar,0
mali tablo kontrol,mali tablo kontrole gayrinakdi kredi gelir tablosu kalemlerinin eklenmesini talep ederiz,2
donuk alacaklar tahakkuk reeskontu taşınması,tahakkuk reeskont içerisinde görünen donuk alacaklar tahakkuk reeskont kırılımını v b tahsili gecikmiş alacaklar kalemi altına donuk alacaklar tahakkuk reeskontu olarak taşınmasını talep eder,2
yeni bütçe kalemi eklenmesi,bütçe planlama budget sekmesi içerisinde yer alan özkaynaklar içerisinde sermaye yedekleri kalemi altına aynı hiyerarşide olmak kaydıyla c sermaye benzeri kredi tier bütçe kalemi eklenmesini talep etmekteyiz,1
hazine kar payı gideri toplayıcı hesabı,ekteki kalemlerin cognos ta hazine kâr payı giderleri olarak tek bir ana kalemin altında toplulaştırılmasını talep eder,1
tanımlama,aşağıda belirtmiş olduğum kalemlerin maaş ücret diğer yardımlar ana kaleminin altına tanımlanması hususunu bilgilerinize sunarız dkb hes no dkb hes adi evli̇li̇k yardimi altin serti̇fi̇ka bedeli̇ tahsi̇lat pri̇mi̇,2
sosyal yardımların toplam giderlere gelmemesi,i̇k modülündeki bulunan sosyal yardım giderleri toplam merkez giderler kısmına gelmemektedir konu hakkında yardımlarınızı rica ediyoruz,0
kalem i̇sim değişikliği,ekli dosyada görüntülenebileceği şekilde vii sermaye piyasası k z kaleminin alt kırılımları olan sermaye piyasası karı sermaye piyasası zararı kalem isimlerinin yeni isimleri değiştirilmesi gerekmektedir,2
özel karşılık gideri net kalemi hiyerarşik düzenlemesi,özel karşılık net kalemi altına terkin tahsilat karşılık i̇ptali gayrinakdi özel karşılık i̇ptali kalemlerinin eklenerek özel karşılık i̇ptali birlikte özel karşılık i̇ptal gelirleri ana kalemi altında izlenmesini talep eder,1
mali tablo şb,mali tablo şb verileri gelmiyor verilerin rapora getirilmesini mali tablo kontrol küpünde farkların sıfır olmasının sağlanmasını talep ederiz not kontrolde yurtdışı şube alacak borç ilişkisi şube bazlı çalışan alınan verilen gelir komisyon kadar fark olabilir,2
kira giderleri bütçe kuru boyutu,sedat bey tm üzerinde bütçe kuruna dönerken kira giderlerinde eur usd kira ödemelerindeki kur farklarını arındırmak adına bir çalışma yapılabileceği konusunda telefonda görüşmüştük tam anlatabilmek adına bir mağaza örneği gönderiyorum tm üzerinde bir hesaplama yapılması doğru olur usd para birimlerini usd karşılığı olarak getirebiliriz sanırım eur kiralarında ilgili aya bir parite girerek sanırım bir şeyler çıkabilir düşünüyorum,2
fbt skalaları,ambalaj malzemesinde fiş skala değer giriş fiş skala atama sayfalarında ekte şekilde sistemde skala açmanızı rica ederiz,2
merkez norm kadro sayıları veri giriş alanı yetkilendirmesi,türkiye loft yurtdışı ülkelerde merkez norm kadro sayılarının giriş alanın salt okunur olarak gözükmektedir bütün ülkelerde veri girişine açılmasını rica ederiz,2
tolga yakar bütçe adminlik yetkilerinin tanımlanması,finansal raporlama çalışanlarından sicil numaralı sn tolga yakar ın cognos uygulamasında bütçe yönetim servisi bünyesine eklenmesi mustafa arslan bulunan yetkilerin kendisine kopyalanması hususunda yardımlarınızı talep ederiz ayrıca ticket talebi oluşturabilmesi http support intellium com tr default aspx sitenizde kullanıcı oluşturulmasını talep ederiz,2
karne parametrelerini kuraldan veri girişine çevirme sorunu,v backstage iki apg nin kaynak target kaynak actual parametreleri kural olarak tanımlandıktan sonra ihtiyaç duyulduğunda kaynak target parametresi veri girişine çevrilememiştir sorun durum genel midir yoksa iki apg ye özgü müdür örnek apg ler toplam teminat mektubu riski toplam risk katılım fonları haricindeki fon kaynaklarının maliyeti,0
hizmet borçları ekranı,ekte paylaşmış olduğum ekranda yer alan hesaplama başlığı altındaki bir sonraki ayda ödenen ilgili satırlardaki rakamlar nereden akmaktadır bir hesaplama sonucu oluşmuştur desteğinizi rica ederim,3
p l vadelendirme kdv sayfası,bilanço nakit akış modülü içerisinde yer alan p l vadelendirme kdv sayfasını çalıştırmanızı rica ederim ekran görüntüsü ektedir,2
mağaza isimlerinin revizesi,ali bey silivri mağazasının adını i̇stanbul lens avm i̇stanbul lens avm nin adını silivri olarak değiştirdik sistemde güncellenme olmamış kontrol edebilir misiniz,0
sümülasyon verilerin aktarılması,bütçe çalışmalarına başlamak üzereyiz doğrultuda tm sümülasyon üzerine çeşitli versiyon çalışmaları yapacağız çalışmaları simülasyondan hareketle yapacağımız simülasyon verilerinin simülasyon verilerine aktarılması yardımlarınızı rica ediyoruz modüller kitapçıklar aktarımlarının yapılması gerekmektedir,2
yılı elementinin eklenmesi,yılı bütçe çalışmalarına başlanacak olması sebebiyle yıl boyutunda yılının açılabilmesi yardımlarınızı talep ederiz,2
e magaza pos komisyonlari,e mağazacılık kanallarında rusya romanya finans modülünde pos komisyonu gözükürken performans tablosunda ilgili kanallarda pos komisyon toplamını mağazacılık kanalında görmekteyiz ayırmamız gereken bir parametre var iki satış kanalında kendi pos komisyıonlarını görebilir miyiz lütfen ukrayna e mağaza kanalında pos komisyonu gözükmektedier diğer ülkelerde gözükmediğini tam olarak anlamadık,0
diğer indiirimlerin smm rapor ekranına akmaması,diğer gelirler ürünle ilgili modülünde gelirsiz ciro gelir diğer indirimler manuel olarak girilmiştir ancak smm rapor ekranına net gelir doğru akmamaktadır gelirsiz ciro gelir diğer indirimler olarak girilmiştir ancak net gelir yerine olarak yansımaktadır dün yaşadığımıza benzer şekilde indirim tarafında lfl yeni start up kırılımı hatalı olabilir düşünüyoruz kontrolünüzü rica ederiz,0
ortalama bakiyeler,dwh tarafında değişen ortalama tablosunun cognos içerisine tekrardan uyarlanmasını talep ederiz yurtiçi yeni tablo adı cgns_mizan_kumulatif_ort yurtdışı yeni tablo adı cgns_mizan_kumulatif_ort_yd,2
